# freq, energy, cw_energy, ccw_energy
9.270220599053624654e-04 1.458115793882447941e-01 8.981663596353492429e-02 5.599494342470986985e-02
9.348933310715699073e-04 1.433169879534702540e-01 8.814384974028049990e-02 5.517313821318976103e-02
9.428314365801868102e-04 1.408658891543043135e-01 8.650354761996158215e-02 5.436234153434273131e-02
9.508369439163392306e-04 1.384574977382019567e-01 8.489506465082539977e-02 5.356243308737656389e-02
9.589104253836285962e-04 1.360910435137292762e-01 8.331775037468738820e-02 5.277329313904189495e-02
9.670524581450370277e-04 1.337657710333849947e-01 8.177096848792743400e-02 5.199480254545756769e-02
9.752636242641961935e-04 1.314809392839695334e-01 8.025409651103451725e-02 5.122684277293500232e-02
9.835445107469896649e-04 1.292358213843046166e-01 7.876652546647201769e-02 5.046929591783259894e-02
9.918957095835260682e-04 1.270297042900960516e-01 7.730765956463141186e-02 4.972204472546465359e-02
1.000317817790452243e-03 1.248618885057554556e-01 7.587691589766076827e-02 4.898497260809469428e-02
1.008811437453636332e-03 1.227316878029868913e-01 7.447372414094995119e-02 4.825796366203694704e-02
1.017377175771212771e-03 1.206384289459601633e-01 7.309752626206744708e-02 4.754090268389270235e-02
1.026015645096983774e-03 1.185814514228970273e-01 7.174777623694957029e-02 4.683367518594746398e-02
1.034727462984203102e-03 1.165601071838941183e-01 7.042393977314291564e-02 4.613616741075119571e-02
1.043513252229716966e-03 1.145737603848236974e-01 6.912549403991545549e-02 4.544826634490824191e-02
1.052373640918493735e-03 1.126217871371458928e-01 6.785192740504794595e-02 4.476985973209793995e-02
1.061309262468518354e-03 1.107035752634818737e-01 6.660273917813101796e-02 4.410083608535086269e-02
1.070320755676081427e-03 1.088185240587920405e-01 6.537743936019096980e-02 4.344108469860106375e-02
1.079408764761439739e-03 1.069660440570174981e-01 6.417554839947936518e-02 4.279049565753814677e-02
1.088573939414873163e-03 1.051455568030380816e-01 6.299659695325950104e-02 4.214895984977857363e-02
1.097816934843133833e-03 1.033564946298111548e-01 6.184012565543310636e-02 4.151636897437804147e-02
1.107138411816278476e-03 1.015983004405587864e-01 6.070568488985303435e-02 4.089261555070575205e-02
1.116539036714914472e-03 9.987042749586816370e-02 5.959283456916964622e-02 4.027759292669852442e-02
1.126019481577831237e-03 9.817233920558528226e-02 5.850114391906881955e-02 3.967119528651646965e-02
1.135580424150045781e-03 9.650350892537375158e-02 5.743019126775662786e-02 3.907331765761712372e-02
1.145222547931258085e-03 9.486341975782225378e-02 5.637956384055493875e-02 3.848385591726732197e-02
1.154946542224709154e-03 9.325156435798555299e-02 5.534885755947453051e-02 3.790270679851102942e-02
1.164753102186457572e-03 9.166744474324574343e-02 5.433767684763532446e-02 3.732976789561041203e-02
1.174642928875076946e-03 9.011057210738400436e-02 5.334563443840718150e-02 3.676493766897683674e-02
1.184616729301776186e-03 8.858046663875766835e-02 5.237235118914878446e-02 3.620811544960887696e-02
1.194675216480941106e-03 8.707665734248010159e-02 5.141745589942626343e-02 3.565920144305384509e-02
1.204819109481103639e-03 8.559868186650343436e-02 5.048058513359496985e-02 3.511809673290846451e-02
1.215049133476350796e-03 8.414608633150491568e-02 4.956138304763110791e-02 3.458470328387380083e-02
1.225366019798165146e-03 8.271842516448492388e-02 4.865950122010485879e-02 3.405892394438007204e-02
1.235770505987708731e-03 8.131526093598333282e-02 4.777459848718763891e-02 3.354066244879569392e-02
1.246263335848548032e-03 7.993616420082587382e-02 4.690634078159069964e-02 3.302982341923517418e-02
1.256845259499824331e-03 7.858071334231353511e-02 4.605440097533392008e-02 3.252631236697961503e-02
